Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
Kepler-92 b,0.001,0.003,0.003,0.31,0.202,1284,1080,3.708,13.749,6.0538,10.4,477.99,5883,4.05,TRUE,nexsci
Kepler-92 c,0,0.001,0.013,0.23,0.019,1029,865,2.942,26.723,8.5096,10.4,477.99,5883,4.05,TRUE,nexsci
Kepler-92 d,0,0,0.006,0.18,0.0155,870,732,3.055,49.3568,10.916,10.4,477.99,5904,3.95,TRUE,nexsci
Kepler-930 b,0,0,0.003,0.19,0.0163,729,613,3.049,71.4518,6.276,12.3,848.4,6335,4.24,TRUE,nexsci
Kepler-931 b,0,0,0.004,0.12,0.00733,1009,848,3.108,8.0376,2.9118,12.4,490,5241,4.55,TRUE,nexsci
Kepler-932 b,0.001,0.001,0.006,0.12,0.00771,1677,1411,3.109,1.9214,1.9046,12.2,465.61,5331,4.54,TRUE,nexsci
Kepler-933 b,0,0,0.005,0.22,0.0208,871,732,3.031,14.2044,3.898,13.6,1017.2,5346,4.54,TRUE,nexsci
Kepler-934 b,0,0,0.004,0.19,0.0158,488,410,3.054,55.6738,3.778,13,608.74,5001,4.59,TRUE,nexsci
Kepler-935 b,0,0,0.005,0.12,0.00752,1031,867,3.112,4.8808,2.5574,12.6,471.78,4830,4.61,TRUE,nexsci
Kepler-936 b,0,0,0.003,0.13,0.00849,960,807,3.102,10.5613,3.2645,12.8,823.4,5482,4.51,TRUE,nexsci
Kepler-937 b,0,0,0.005,0.33,0.042,681,573,2.975,67.6688,9.556,13.7,1571.46,6095,4.32,TRUE,nexsci
Kepler-937 c,0,0,0.003,0.24,0.0239,518,436,3.019,153.3434,10.715,13.7,1571.46,6095,4.32,TRUE,nexsci
Kepler-938 b,0,0,0.004,0.2,0.0175,577,485,3.044,52.6298,5.964,13.3,1182.05,5533,4.51,TRUE,nexsci
Kepler-939 b,0,0,0.004,0.16,0.0117,852,716,3.076,14.8783,7.504,13.8,2093.62,5471,4.54,TRUE,nexsci
Kepler-93 b,0.002,0.004,0.022,0.14,0.0143,1398,1175,3.257,4.7267,2.8898,8.4,95.91,5669,4.47,TRUE,nexsci
Kepler-940 b,0,0,0.004,0.3,0.035,586,493,2.99,59.6225,6.425,14,1260.78,5769,4.47,TRUE,nexsci
Kepler-941 b,0,0,0.006,0.28,0.0305,814,684,3,17.424,4.929,13.9,1088.36,5539,4.53,TRUE,nexsci
Kepler-942 b,0,0,0.013,0.19,0.0163,504,423,3.049,44.9642,5.0412,10.8,216.35,4861,4.59,TRUE,nexsci
Kepler-943 b,0,0.001,0.013,0.53,0.0928,607,510,2.915,49.7701,10.065,14,2300.53,5612,4.5,TRUE,nexsci
Kepler-944 b,0,0,0.004,0.23,0.0233,591,497,3.019,43.3168,4.995,13.9,1349.43,5409,4.54,TRUE,nexsci
Kepler-945 b,0,0,0.003,0.23,0.0233,716,602,3.019,31.0034,5.253,14.3,1651.25,5718,4.46,TRUE,nexsci
Kepler-946 b,0,0,0.004,0.17,0.0138,990,832,3.063,11.7916,3.036,13.3,1137.29,5665,4.47,TRUE,nexsci
Kepler-947 b,0,0,0.003,0.2,0.0183,700,588,3.042,26.9644,3.792,14,1730.78,5508,4.52,TRUE,nexsci
Kepler-948 b,0,0,0.005,0.17,0.0128,1154,970,3.066,7.7685,4.385,13.2,868.02,5679,4.47,TRUE,nexsci
Kepler-949 b,0,0.001,0.01,0.26,0.0277,1033,868,3.007,8.6893,2.5913,12.5,486.11,5403,4.53,TRUE,nexsci
Kepler-94 b,0.004,0.008,0.037,0.31,0.034,1356,1140,2.935,2.5081,1.0724,10.6,191.9,4781,4.59,TRUE,nexsci
Kepler-950 b,0,0,0.012,0.8,0.188,538,452,2.861,98.718,6.4184,14.1,2161.6,5857,4.44,TRUE,nexsci
Kepler-951 b,0,0,0.023,0.5,0.0839,426,358,2.922,71.5253,5.9273,12.3,382.51,4834,4.6,TRUE,nexsci
Kepler-952 b,0,0,0.011,0.68,0.143,454,382,2.882,130.3547,6.382,13.7,1304.25,5730,4.45,TRUE,nexsci
Kepler-953 b,0,0,0.035,0.38,0.0519,494,415,2.959,88.4066,12.3073,10.3,258.89,5416,4.42,TRUE,nexsci
Kepler-953 c,0,0.001,0.01,0.11,0.0057,1053,885,3.099,9.1097,5.3021,10.3,258.89,5416,4.42,TRUE,nexsci
Kepler-954 b,0,0.001,0.017,0.21,0.0189,726,611,3.039,16.7818,3.7533,10.8,215.81,4990,4.59,TRUE,nexsci
Kepler-955 b,0,0.001,0.009,0.28,0.0313,854,718,2.999,14.5324,3.1732,12.8,550.38,5350,4.54,TRUE,nexsci
Kepler-956 b,0.001,0.002,0.009,0.27,0.0292,1521,1279,3.003,5.2487,1.8418,12,544.94,6040,4.36,TRUE,nexsci
Kepler-957 b,0,0.003,0.013,0.49,0.0816,1042,877,2.924,5.9074,1.0864,13.5,824.69,4963,4.6,TRUE,nexsci
Kepler-958 b,0,0.001,0.007,0.18,0.0154,988,831,3.052,9.7679,1.9474,12,449.77,5421,4.53,TRUE,nexsci
Kepler-959 b,0.001,0.002,0.01,0.39,0.0555,1409,1185,2.954,14.8007,5.762,11.5,807.73,7005,4.04,TRUE,nexsci
Kepler-95 b,0.001,0.002,0.013,0.3,0.041,1217,1023,3.038,11.5231,3.8853,10.8,445.66,5699,4.17,TRUE,nexsci
Kepler-960 b,0,0.002,0.012,0.2,0.0184,1137,956,3.04,3.1269,1.1926,11.6,284.92,4755,4.61,TRUE,nexsci
Kepler-961 b,0,0.001,0.008,0.23,0.0221,861,724,3.027,16.8773,3.7835,12.5,574.31,5582,4.51,TRUE,nexsci
Kepler-962 b,0,0,0.007,0.18,0.0143,929,781,3.059,12.0571,2.2598,11.9,411.49,5478,4.54,TRUE,nexsci
Kepler-963 b,0,0.001,0.007,0.24,0.0238,1002,843,3.021,9.9768,3.419,13.2,771.49,5461,4.52,TRUE,nexsci
Kepler-964 b,0,0.001,0.008,0.19,0.0162,875,736,3.051,13.5225,3.8931,12.1,454.63,5427,4.55,TRUE,nexsci
Kepler-965 b,0,0,0.008,0.3,0.0357,506,425,2.987,134.2527,9.0636,11.9,582.83,5886,4.33,TRUE,nexsci
Kepler-966 b,0,0,0.008,0.37,0.0502,541,455,2.963,99.7476,6.744,12.7,1027.8,5840,4.43,TRUE,nexsci
Kepler-967 b,0,0.001,0.008,0.21,0.0193,829,697,3.035,13.2271,3.2928,12.4,568.55,5178,4.56,TRUE,nexsci
Kepler-967 c,0,0,0.01,0.33,0.0407,336,282,2.977,198.7113,8.5374,12.4,568.55,5178,4.56,TRUE,nexsci
Kepler-968 b,0,0.001,0.011,0.18,0.0147,1118,941,3.061,3.693,1.7291,11.8,290.32,4598,4.63,TRUE,nexsci
Kepler-968 c,0,0.001,0.007,0.15,0.011,967,813,3.078,5.7094,1.5769,11.8,290.32,4598,4.63,TRUE,nexsci
Kepler-969 b,0,0,0.007,0.18,0.0155,601,506,3.05,34.1732,4.4751,11.9,390.35,5214,4.57,TRUE,nexsci
Kepler-969 c,0.001,0.001,0.007,0.09,0.00295,1642,1380,2.975,1.6829,1.8737,11.9,390.35,5214,4.57,TRUE,nexsci
Kepler-96 b,0,0.003,0.033,0.24,0.027,938,789,3.072,16.2385,3.817,8.9,122.88,5690,4.42,TRUE,nexsci
Kepler-970 b,0,0,0.009,0.25,0.0255,636,535,3.015,16.7365,1.9947,12.2,331.55,4511,4.64,TRUE,nexsci
Kepler-971 b,0,0.001,0.012,0.19,0.0163,998,840,3.049,9.5907,3.452,11.4,338.52,5431,4.54,TRUE,nexsci
Kepler-972 b,0.001,0.002,0.01,0.41,0.0614,1437,1208,2.946,7.0393,3.514,13.4,1198.03,6146,4.33,TRUE,nexsci
Kepler-973 b,0,0,0.007,0.17,0.0142,527,443,3.06,49.6077,2.9575,11.3,328.52,5213,4.58,TRUE,nexsci
Kepler-974 b,0,0.001,0.015,0.14,0.00972,730,614,3.09,4.1945,1.7807,11.1,134.31,3687,4.76,TRUE,nexsci
Kepler-975 b,0,0.001,0.007,0.13,0.00879,1397,1175,3.097,1.9703,1.7901,12.2,426.09,4897,4.59,TRUE,nexsci
Kepler-976 b,0,0,0.006,0.35,0.0467,421,354,2.968,105.9564,6.9988,13.9,1012.41,5232,4.55,TRUE,nexsci
Kepler-977 b,0,0,0.007,0.23,0.0232,690,580,3.021,26.8533,4.5063,12.9,568.75,5315,4.55,TRUE,nexsci
Kepler-978 b,0,0,0.009,0.27,0.029,688,579,3.004,49.6222,7.222,12,682.52,6002,4.38,TRUE,nexsci
Kepler-979 b,0,0.001,0.007,0.24,0.0247,1011,850,3.016,8.088,1.7768,12.7,576.5,5310,4.54,TRUE,nexsci
Kepler-97 b,0.001,0.001,0.007,0.13,0.011,1739,1462,3.194,2.5866,2.253,11.3,400.91,5779,4.43,TRUE,nexsci
Kepler-980 b,0,0.001,0.007,0.24,0.0239,1105,929,3.019,11.551,3.3601,12.7,961.47,5935,4.41,TRUE,nexsci
Kepler-981 b,0,0.001,0.005,0.21,0.0187,1389,1168,3.038,4.4698,1.8062,13.2,878.08,5718,4.47,TRUE,nexsci
Kepler-982 b,0,0.001,0.006,0.2,0.0179,1113,936,3.041,15.7738,4.9443,11.9,801.48,6139,4.28,TRUE,nexsci
Kepler-983 b,0,0,0.006,0.21,0.0194,643,541,3.033,60.0855,6.929,12.2,714.44,6052,4.42,TRUE,nexsci
Kepler-984 b,0,0,0.007,0.19,0.0162,643,541,3.051,43.0342,6.0726,11.8,460.19,5610,4.49,TRUE,nexsci
Kepler-985 b,0,0,0.006,0.27,0.0288,431,362,3.004,116.3319,7.025,13,679.36,5434,4.54,TRUE,nexsci
Kepler-986 b,0,0,0.006,0.21,0.0194,610,513,3.033,56.435,4.7381,12.1,548.36,5642,4.43,TRUE,nexsci
Kepler-987 b,0,0,0.005,0.29,0.0336,474,398,2.993,105.3033,6.12,13.4,914.13,5637,4.51,TRUE,nexsci
Kepler-988 b,0,0,0.007,0.18,0.0155,508,427,3.05,17.7608,1.686,12.3,304.89,4005,4.73,TRUE,nexsci
Kepler-989 b,0,0.001,0.006,0.2,0.0174,949,798,3.046,7.9643,1.5342,12.4,491.98,5074,4.58,TRUE,nexsci
Kepler-98 b,0.005,0.002,0.015,0.18,0.011,2092,1759,2.935,1.5417,1.9874,11.3,350.31,5539,4.34,TRUE,nexsci
Kepler-990 b,0,0.001,0.006,0.23,0.0229,1193,1003,3.023,9.9172,3.2597,12.9,802.16,5948,4.39,TRUE,nexsci
Kepler-990 c,0.005,0.001,0.005,0.14,0.0093,3145,2645,3.096,0.5384,1.4801,12.9,802.16,5948,4.39,TRUE,nexsci
Kepler-991 b,0,0,0.007,0.23,0.022,353,297,3.025,82.5343,4.8556,12.6,389.56,4392,4.67,TRUE,nexsci
Kepler-992 b,0,0,0.009,0.14,0.0102,666,560,3.08,20.1603,3.8215,11.3,259.64,4944,4.6,TRUE,nexsci
Kepler-993 b,0,0,0.009,0.27,0.0287,449,378,3.006,22.0856,2.1619,12.7,324.42,3843,4.72,TRUE,nexsci
Kepler-994 b,0.001,0.002,0.015,0.14,0.01,1246,1048,3.084,1.1512,1.0907,11.5,188.16,3934,4.72,TRUE,nexsci
Kepler-995 b,0,0,0.007,0.24,0.0244,647,544,3.018,28.2673,4.5693,13,609.64,5206,4.57,TRUE,nexsci
Kepler-996 b,0.001,0.001,0.004,0.18,0.0144,1691,1422,3.057,3.7706,2.0254,13.2,1216.58,6014,4.36,TRUE,nexsci
Kepler-997 b,0.002,0.001,0.007,0.12,0.00761,2211,1859,3.11,2.7073,3.4623,10.6,467.57,6150,4.14,TRUE,nexsci
Kepler-998 b,0,0.001,0.004,0.21,0.0189,1508,1268,3.039,5.6538,1.9483,12.9,986.36,6058,4.34,TRUE,nexsci
Kepler-999 b,0.001,0.001,0.006,0.21,0.0191,1761,1480,3.035,5.9919,1.622,10.9,545.06,6237,4.11,TRUE,nexsci
Kepler-99 b,0,0.001,0.006,0.13,0.019,1045,878,3.432,4.6036,2.3499,10.8,208.37,4782,4.61,TRUE,nexsci
Kepler-9 b,0,0.005,0.041,0.74,0.13655,858,721,2.791,19.2389,3.8225,12.3,628.26,5774,4.49,TRUE,nexsci
Kepler-9 c,0,0.002,0.045,0.72,0.09408,681,573,2.652,38.9853,4.109,12.3,628.26,5774,4.49,TRUE,nexsci
Kepler-9 d,0.002,0.001,0.006,0.15,0.0105,2025,1703,3.087,1.5929,1.9313,12.3,628.26,5777,4.49,TRUE,nexsci
KOI-1257 b,0,0.001,0.003,0.94,1.45,544,458,3.609,86.6477,4.2624,12.7,656,5520,4.32,TRUE,nexsci
KIC 10525077 b,,,,0.49,0.0816,,,2.924,854.083,,13.8,1461.15,6091,4.42,TRUE,nexsci
KIC 3558849 b,,,,0.62,0.12,,,2.894,1322.3,,12.8,1215.7,6175,4.44,TRUE,nexsci
KIC 5437945 b,0,0,0.015,0.57,0.106,378,318,2.906,440.7813,21.268,12.4,1274.01,6340,4.16,TRUE,nexsci
KIC 5951458 b,,,,0.59,0.111,,,2.899,1320.1,,11.3,742.69,6258,4.08,TRUE,nexsci
KIC 8540376 b,,,,0.37,0.0496,,,2.963,31.8099,,13,1072.3,6474,4.31,TRUE,nexsci
KIC 8540376 c,,,,0.21,0.02,,,3.034,75.2,,13,1072.3,6474,4.31,TRUE,nexsci
KIC 9663113 b,0,0,0.011,0.41,0.0603,298,250,2.949,572.3847,23.162,12.5,1594.74,6065,4.42,TRUE,nexsci
KOI-12 b,0.007,0.048,0.054,1.23,1.1,1147,965,3.256,17.8552,7.4294,10.2,399.4,6635,4.31,TRUE,nexsci
KOI-13 b,0.97,0.265,0.019,1.51,9.28,3033,2550,4.003,1.7636,3.1688,9.4,519.1,7650,4.2,TRUE,nexsci
KOI-142 b,0,0.002,0.025,0.31,0.03,950,799,2.897,10.9165,3.6496,11.5,376.86,5466,4.53,TRUE,nexsci
KOI-142 c,,,,1.25,0.674,755,635,3.029,22.2649,,11.5,376.86,5466,4.53,TRUE,nexsci
KOI-351 b,0,0,0.003,0.12,0.00714,1404,1181,3.112,7.0082,3.99,12.5,848.25,6080,4.4,TRUE,nexsci
KOI-351 c,0,0,0.003,0.11,0.0057,1280,1077,3.099,8.7194,3.7454,12.5,848.25,6080,4.4,TRUE,nexsci
KOI-351 d,0,0,0.006,0.26,0.0271,675,568,3.011,59.7367,8.0006,12.5,848.25,6080,4.4,TRUE,nexsci
KOI-351 e,0,0,0.005,0.24,0.0238,589,496,3.021,91.9391,9.195,12.5,848.25,6080,4.4,TRUE,nexsci
KOI-351 f,0,0,0.006,0.26,0.0272,551,464,3.009,124.9144,10.94,12.5,848.25,6080,4.4,TRUE,nexsci
KOI-351 g,0,0,0.004,0.72,0.8,453,381,3.579,210.607,11.9922,12.5,848.25,6080,4.4,TRUE,nexsci
KOI-351 h,0,0,0.006,1.01,1.2,380,320,3.466,331.6006,14.404,12.5,848.25,6080,4.4,TRUE,nexsci
Kepler-90 i,0,0,0.001,0.12,0.00724,,709,3.11,14.4491,2.8,12.5,848.25,6015,4.27,TRUE,nexsci
KOI-94 b,0.002,0.001,0.003,0.15,0.033,1932,1624,3.543,3.7432,3.6888,10.9,477.05,6182,4.18,TRUE,nexsci
KOI-94 c,0.002,0.004,0.023,0.39,0.049,1373,1155,2.913,10.4236,5.2257,10.9,477.05,6182,4.18,TRUE,nexsci
KOI-94 d,0.002,0.016,0.053,1,0.334,1065,896,2.914,22.343,6.686,10.9,477.05,6182,4.18,TRUE,nexsci
KOI-94 e,0,0.002,0.026,0.58,0.11,792,666,2.901,54.3203,8.4652,10.9,477.05,6182,4.18,TRUE,nexsci
KPS-1 b,0.112,0.098,0.039,1.03,1.09,1723,1449,3.406,1.7063,1.68,10.9,262.71,5165,4.47,TRUE,nexsci
LHS 1140 b,0,0,0.053,0.15,0.02007,273,230,3.368,24.7369,2.055,8.8,14.99,3216,5.06,TRUE,nexsci
Lupus-TR-3 b,,,,0.89,0.81,1205,1014,3.404,3.9141,,15.1,773.41,5000,4.96,TRUE,nexsci
MASCARA-1 b,1.636,0.445,0.079,1.5,3.7,3027,2546,3.61,2.1488,4.05,7.7,182.27,7554,4,TRUE,nexsci
NGTS-1 b,0.005,0.069,0.085,1.33,0.812,939,790,3.056,2.6473,1.23,11.9,218.12,3916,4.71,TRUE,nexsci
NGTS-2 b,0.247,0.177,0.192,1.59,0.74,1930,1623,2.858,4.5112,4.651,9.8,356.39,6478,4.2,TRUE,nexsci
NGTS-3 A b,0.22,0.12,0.03,1.48,2.38,2042,1717,3.43,1.6754,2.3,12.8,743.97,5600,4.45,TRUE,nexsci
OGLE-TR-56 b,0.116,0.028,,1.36,1.39,2965,2493,3.268,1.2119,2.2032,,282.84,6050,4.09,TRUE,nexsci
OGLE-TR-10 b,0.048,0.043,0.043,1.25,0.62,1772,1490,2.993,3.1013,3.072,12.9,1344.97,5950,4.18,TRUE,nexsci
OGLE-TR-111 b,0.004,0.015,0.018,1.02,0.55,1211,1018,3.118,4.0144,2.67,14.1,1068.33,5040,4.54,TRUE,nexsci
OGLE-TR-132 b,0.04,0.016,0.007,1.2,1.18,2349,1975,3.308,1.6899,2.2742,15,2012.62,6210,4.31,TRUE,nexsci
OGLE-TR-113 b,,,,1.09,1.26,1593,1340,3.417,1.4325,,,566.46,4790,4.55,TRUE,nexsci
OGLE-TR-182 b,,,,1.13,1.01,1606,1351,3.292,3.9791,,14.7,2501.75,5924,4.14,TRUE,nexsci
PH1 b,,,,0.55,0.531,598,503,3.637,138.317,,12.4,1033.16,6407,4.14,TRUE,nexsci
PH2 b,0,0,0,0.9,80,355,298,5.386,282.5255,10.8101,11.1,343.86,5629,4.41,TRUE,nexsci
POTS-1 b,,,,0.94,2.31,1003,843,3.811,3.1606,,14.2,747.96,4400,4.63,TRUE,nexsci
Qatar-1 b,0.212,0.196,0.072,1.14,1.294,1684,1416,3.39,1.42,1.661,10.4,185.62,5013,4.55,TRUE,nexsci
Qatar-2 b,0.228,0.234,0.047,1.25,2.494,1603,1348,3.595,1.3371,1.8098,10.6,181.37,4645,4.53,TRUE,nexsci
Qatar-3 b,0.122,0.075,0.008,1.1,4.31,1996,1678,3.949,2.5079,3.1104,11.2,735.6,6007,4.29,TRUE,nexsci
Qatar-4 b,0.102,0.105,0.009,1.14,6.1,1647,1385,4.07,1.8054,2.1384,11.5,329.04,5215,4.53,TRUE,nexsci
Qatar-5 b,0.084,0.087,0.011,1.11,4.32,1686,1418,3.941,2.8792,2.9088,11,367.66,5747,4.43,TRUE,nexsci
TRAPPIST-1 b,0,0.001,0.173,0.1,0.00267,482,406,2.847,1.5109,0.6067,10.3,12.43,2559,5.28,TRUE,nexsci
TRAPPIST-1 c,0,0,0.089,0.09,0.00434,412,347,3.085,2.4218,0.7062,10.3,12.43,2559,5.28,TRUE,nexsci
TRAPPIST-1 d,0,0,0.108,0.07,0.00129,347,292,2.827,4.0496,0.8188,10.3,12.43,2559,5.28,TRUE,nexsci
TRAPPIST-1 e,0,0,0.113,0.08,0.00195,303,255,2.857,6.0996,0.9535,10.3,12.43,2559,5.28,TRUE,nexsci
TRAPPIST-1 f,0,0,0.136,0.09,0.00214,264,222,2.788,9.2067,1.043,10.3,12.43,2559,5.28,TRUE,nexsci
TRAPPIST-1 g,0,0,0.084,0.1,0.00422,239,201,3.011,12.3529,1.14,10.3,12.43,2559,5.28,TRUE,nexsci
TRAPPIST-1 h,0,0,0.102,0.07,0.00104,196,164,2.759,18.767,1.26,10.3,12.43,2559,5.28,TRUE,nexsci
TrES-1 b,0.083,0.171,0.127,1.13,0.84,1396,1174,3.212,3.0301,2.508,9.8,159.66,5230,4.57,TRUE,nexsci
TrES-2 b,0.266,0.192,0.08,1.36,1.49,1881,1582,3.3,2.4706,1.7426,9.8,215.32,5850,4.43,TRUE,nexsci
TrES-3 b,0.38,0.237,0.069,1.34,1.91,1954,1643,3.424,1.3062,1.365,10.6,231.34,5650,4.57,TRUE,nexsci
TrES-4 b,0.257,0.153,0.144,1.61,0.78,2032,1708,2.873,3.5539,3.658,10.3,515.98,6200,4.06,TRUE,nexsci
TrES-5 b,,,,1.19,1.79,1764,1483,3.493,1.4822,,11.6,360.31,5171,4.52,TRUE,nexsci
WASP-100 b,0.396,0.179,0.088,1.33,1.26,2318,1949,3.247,2.8494,3.753,9.7,364.41,6900,4.35,TRUE,nexsci
WASP-101 b,0.306,0.243,0.348,1.43,0.51,1862,1566,2.791,3.5857,2.712,9.1,201.22,6380,4.31,TRUE,nexsci
WASP-103 b,1.016,0.247,0.087,1.53,1.49,2984,2509,3.199,0.9255,2.593,10.8,375.65,6110,4.22,TRUE,nexsci
WASP-104 b,0.229,0.181,0.07,1.14,1.272,1801,1514,3.387,1.7554,1.7621,9.9,185.93,5475,4.5,TRUE,nexsci
WASP-106 b,0.017,0.052,0.024,1.02,1.62,1312,1104,3.587,9.2897,5.363,10.2,352.18,6055,4.23,TRUE,nexsci
WASP-10 b,0.03,0.144,0.031,1.08,3.15,1154,970,3.826,3.0928,2.2271,10,141,4675,4.63,TRUE,nexsci
WASP-113 b,0.124,0.111,0.16,1.41,0.475,1767,1486,2.773,4.5422,4.2984,10.3,435.16,5890,4.2,TRUE,nexsci
WASP-127 b,0.294,0.296,1.132,1.31,0.1647,1689,1421,2.376,4.1781,4.3529,8.6,159.51,5620,4.18,TRUE,nexsci
WASP-138 b,0.112,0.084,0.037,1.09,1.22,1887,1587,3.406,3.6344,3.7728,10.5,414.23,6272,4.25,TRUE,nexsci
WASP-117 b,0.028,0.113,0.315,1.06,0.3,1244,1046,2.821,10.0216,5.94,8.8,157.96,6040,4.28,TRUE,nexsci
WASP-118 b,0.287,0.17,0.224,1.44,0.514,2052,1726,2.788,4.046,4.9114,9.8,376.66,6410,4.1,TRUE,nexsci
WASP-119 b,0.234,0.17,0.085,1.4,1.23,1863,1566,3.192,2.4998,2.88,10.5,302.45,5650,4.26,TRUE,nexsci
WASP-124 b,0.076,0.088,0.098,1.24,0.6,1654,1390,2.986,3.3727,2.5704,11.3,448.64,6050,4.44,TRUE,nexsci
WASP-126 b,0.119,0.105,0.169,0.96,0.28411,1769,1487,2.883,3.2888,3.408,9.6,216.53,5800,4.28,TRUE,nexsci
WASP-11 b,0.047,0.154,0.126,1.11,0.79,1245,1047,3.201,3.7225,2.556,9.4,124.73,4800,4.45,TRUE,nexsci
WASP-120 b,0.292,0.139,0.019,1.47,4.85,2231,1876,3.744,3.6113,3.5592,9.9,381.17,6450,4.04,TRUE,nexsci
WASP-121 b,2.141,0.608,0.363,1.86,1.183,2806,2359,2.926,1.2749,2.8872,9.4,269.9,6459,4.24,TRUE,nexsci
WASP-123 b,0.266,0.217,0.147,1.32,0.899,1804,1517,3.108,2.9776,3.0936,9.4,198,5740,4.29,TRUE,nexsci
WASP-12 b,1.791,0.424,0.197,1.94,1.465,3085,2594,2.986,1.0914,3.0408,10.2,427.25,6360,4.16,TRUE,nexsci
WASP-130 b,0.003,0.043,0.034,0.89,1.23,993,835,3.585,11.551,3.72,9.5,172.26,5625,4.49,TRUE,nexsci
WASP-131 b,0.188,0.181,0.418,1.22,0.27,1736,1460,2.653,5.322,3.8304,8.6,200.07,6030,4.09,TRUE,nexsci
WASP-132 b,0.002,0.054,0.121,0.87,0.41,910,765,3.128,7.1335,3.0816,9.7,122.91,4775,4.61,TRUE,nexsci
WASP-133 b,0.179,0.09,0.037,1.21,1.16,2112,1776,3.293,2.1764,3.4392,11.2,559.08,5700,4.18,TRUE,nexsci
WASP-136 b,0.285,0.161,0.067,1.38,1.51,2076,1745,3.293,5.2154,5.4528,8.8,275.59,6260,3.9,TRUE,nexsci
WASP-135 b,0.3,0.164,0.046,1.3,1.9,2045,1720,3.445,1.4014,1.656,11,298.21,5675,4.47,TRUE,nexsci
WASP-139 b,0.005,0.04,0.225,0.8,0.117,1094,920,2.656,5.9243,2.832,10.5,212.47,5310,4.59,TRUE,nexsci
WASP-13 b,0.186,0.181,0.311,1.22,0.36,1725,1450,2.778,4.353,4.056,9.1,227.54,5950,4.06,TRUE,nexsci
WASP-140 b,0.282,0.358,0.102,1.44,2.44,1565,1316,3.465,2.236,1.5144,9.2,117.6,5260,4.51,TRUE,nexsci
WASP-141 b,0.092,0.074,0.016,1.21,2.69,1829,1538,3.658,3.3107,3.6,11.2,516.54,5900,4.26,TRUE,nexsci
WASP-142 b,0.256,0.1,0.07,1.53,0.84,2369,1992,2.949,2.0529,2.6808,11.4,730.93,6010,4.13,TRUE,nexsci
WASP-144 b,0.047,0.069,0.066,0.85,0.44,1510,1270,3.179,2.2783,1.9536,10.9,355.51,5200,4.53,TRUE,nexsci
WASP-145 A b,0.095,0.163,0.081,0.9,0.89,1434,1206,3.435,1.769,0.9768,9.2,91.3,4900,4.65,TRUE,nexsci
WASP-14 b,0.831,0.373,0.025,1.38,8.84,2284,1921,4.061,2.2437,3.06,8.6,162,6475,4.07,TRUE,nexsci
WASP-151 b,0.043,0.065,0.135,1.13,0.31,1533,1289,2.779,4.5335,3.66,11.2,453.1,5871,4.35,TRUE,nexsci
WASP-153 b,0.179,0.102,0.174,1.55,0.39,2036,1712,2.605,3.3326,3.84,11.1,610.18,5914,4.1,TRUE,nexsci
WASP-156 b,0.007,0.036,0.097,0.51,0.128,1153,970,3.086,3.8362,2.41,9.3,122.07,4910,4.6,TRUE,nexsci
WASP-157 b,0.035,0.05,0.047,1,0.574,1554,1307,3.155,3.9516,1.853,10.8,334.04,5772,4.38,TRUE,nexsci
WASP-158 b,0.083,0.062,0.012,1.07,2.79,1888,1588,3.781,3.6563,3.576,10.9,524.99,6350,4.3,TRUE,nexsci
WASP-159 b,0.155,0.074,0.078,1.38,0.55,2198,1848,2.855,3.8404,5.5872,11,715.38,6120,3.94,TRUE,nexsci
WASP-15 b,0.255,0.178,0.226,1.41,0.54,1934,1626,2.828,3.7521,3.7128,9.7,282.09,6300,4.35,TRUE,nexsci
WASP-162 b,0.005,0.039,0.006,1,5.2,1085,912,4.11,9.6247,4.2576,10.5,310.84,5300,4.33,TRUE,nexsci
WASP-167 b,0.72,0.215,0.018,1.58,8,2811,2364,3.9,2.022,2.724,9.8,423.55,7000,4.13,TRUE,nexsci
WASP-168 b,0.099,0.129,0.256,1.5,0.42,1598,1344,2.665,4.1537,1.9128,10.4,303.94,6000,4.37,TRUE,nexsci
WASP-16 b,0.157,0.152,0.072,1.22,1.24,1713,1441,3.315,3.1186,1.934,9.6,194.13,5700,4.49,TRUE,nexsci
WASP-172 b,0.22,0.132,0.226,1.57,0.47,2076,1746,2.675,5.4774,5.2944,10.1,538.11,6900,4.05,TRUE,nexsci
WASP-20 b,0.157,0.185,0.463,1.46,0.311,1639,1379,2.557,4.8996,3.4032,9.4,211.88,5940,4.23,TRUE,nexsci
WASP-23 b,0.041,0.101,0.063,0.96,0.884,1336,1124,3.374,2.9444,2.3942,10.4,207.49,5150,4.2,TRUE,nexsci
WASP-173 A b,0.509,0.225,0.028,1.2,3.69,2225,1871,3.803,1.3867,2.2968,10,232.98,5800,4.37,TRUE,nexsci
WASP-174 b,0.085,0.079,0.043,1.3,1.3,1777,1494,3.28,4.2337,2.04,10.6,410.15,6400,4.32,TRUE,nexsci
WASP-17 b,0.435,0.274,0.321,1.87,0.78,2020,1699,2.743,3.7354,4.4232,10.2,405.91,6550,4.2,TRUE,nexsci
WASP-18 b,2.091,0.562,0.024,1.19,10.42954,2878,2420,4.261,0.9412,2.1437,8.1,123.48,6400,4.37,TRUE,nexsci
